"Station Name","ST. CATHARINES / NIAGARA DISTRICT A"
"Province","ONTARIO"
"Latitude","43.19"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137286"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2013-12-06 09:00","2013","12","06","09:00","1.1","","-4.0","","69","","28","","14","","24.1","","100.94","","","","","","NA"
"2013-12-06 10:00","2013","12","06","10:00","1.0","","-4.9","","65","","26","","20","","24.1","","101.03","","","","","","Cloudy"
"2013-12-06 11:00","2013","12","06","11:00","1.4","","-4.9","","63","","28","","18","","24.1","","101.06","","","","","","NA"
"2013-12-06 12:00","2013","12","06","12:00","0.9","","-5.2","","64","","29","","19","","24.1","","101.03","","","","","","NA"
"2013-12-06 13:00","2013","12","06","13:00","0.9","","-5.2","","64","","29","","16","","24.1","","101.07","","","","","","Cloudy"
"2013-12-06 14:00","2013","12","06","14:00","1.2","","-5.1","","63","","30","","18","","24.1","","101.00","","","","","","NA"
"2013-12-06 15:00","2013","12","06","15:00","0.9","","-4.8","","66","","27","","14","","24.1","","101.00","","","","","","NA"
"2013-12-06 16:00","2013","12","06","16:00","0.5","","-5.8","","63","","29","","18","","24.1","","101.07","","","","","","Cloudy"
"2013-12-06 17:00","2013","12","06","17:00","0.2","","-5.8","","64","","28","","10","","24.1","","101.08","","","","","","NA"
"2013-12-06 18:00","2013","12","06","18:00","0.2","","-5.8","","64","","29","","15","","24.1","","101.12","","","","","","NA"
"2013-12-06 19:00","2013","12","06","19:00","0.0","","-5.6","","66","","29","","13","","24.1","","101.15","","","","-4","","Cloudy"
"2013-12-06 20:00","2013","12","06","20:00","-0.3","","-6.1","","65","","29","","17","","24.1","","101.17","","","","-5","","NA"
"2013-12-06 21:00","2013","12","06","21:00","-0.5","","-6.1","","66","","29","","12","","24.1","","101.23","","","","-4","","NA"
"2013-12-06 22:00","2013","12","06","22:00"
"2013-12-06 23:00","2013","12","06","23:00"
"2013-12-07 00:00","2013","12","07","00:00"
"2013-12-07 01:00","2013","12","07","01:00"
"2013-12-07 02:00","2013","12","07","02:00"
"2013-12-07 03:00","2013","12","07","03:00"
"2013-12-07 04:00","2013","12","07","04:00"
"2013-12-07 05:00","2013","12","07","05:00"
"2013-12-07 06:00","2013","12","07","06:00"
"2013-12-07 07:00","2013","12","07","07:00","-2.4","","-9.2","","60","","29","","30","","24.1","","101.67","","","","-10","","Mainly Clear"
"2013-12-07 08:00","2013","12","07","08:00","-2.7","","-9.7","","59","","30","","16","","24.1","","101.77","","","","-8","","NA"
"2013-12-07 09:00","2013","12","07","09:00","-2.7","","-9.2","","61","","25","","21","","24.1","","101.87","","","","-9","","NA"
"2013-12-07 10:00","2013","12","07","10:00","-2.9","","-9.6","","60","","27","","23","","24.1","","101.91","","","","-9","","Mostly Cloudy"
"2013-12-07 11:00","2013","12","07","11:00","-2.1","","-9.3","","58","","27","","22","","24.1","","101.94","","","","-8","","Snow Showers"
"2013-12-07 12:00","2013","12","07","12:00","-1.9","","-8.5","","61","","26","","18","","24.1","","101.93","","","","-7","","Snow Showers"
"2013-12-07 13:00","2013","12","07","13:00","-2.0","","-8.6","","61","","28","","32","","16.1","","101.93","","","","-9","","Snow Showers"
"2013-12-07 14:00","2013","12","07","14:00","-2.4","","-8.7","","62","","26","","25","","24.1","","101.97","","","","-9","","Snow Showers"
"2013-12-07 15:00","2013","12","07","15:00","-2.2","","-9.0","","60","","25","","21","","24.1","","101.97","","","","-8","","Snow Showers"
"2013-12-07 16:00","2013","12","07","16:00","-3.0","","-7.5","","71","","25","","24","","24.1","","102.03","","","","-10","","Snow Showers"
"2013-12-07 17:00","2013","12","07","17:00","-3.2","","-8.5","","67","","25","","17","","24.1","","102.07","","","","-9","","Snow Showers"
"2013-12-07 18:00","2013","12","07","18:00","-3.5","","-10.4","","59","","25","","23","","24.1","","102.15","","","","-10","","NA"
"2013-12-07 19:00","2013","12","07","19:00","-3.9","","-11.5","","56","","25","","23","","24.1","","102.20","","","","-11","","Mostly Cloudy"
