"Station Name","ST CATHARINES A"
"Province","ONTARIO"
"Latitude","43.20"
"Longitude","-79.17"
"Elevation","97.80"
"Climate Identifier","6137287"
"WMO Identifier",""
"TC Identifier","YSN"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2010-01-07 07:00","2010","01","07","07:00","-2.8","","-3.7","","94","","25","","15","","8.0","","100.45","","","","-8","","Fog"
"2010-01-07 08:00","2010","01","07","08:00","-2.8","","-4.0","","91","","25","","13","","12.9","","100.46","","","","-7","","Cloudy"
"2010-01-07 09:00","2010","01","07","09:00","-2.7","","-4.0","","91","","25","","9","","12.9","","100.47","","","","-6","","Snow"
"2010-01-07 10:00","2010","01","07","10:00","-2.4","","-3.7","","91","","24","","9","","6.4","","100.49","","","","-6","","Snow"
"2010-01-07 11:00","2010","01","07","11:00","-2.4","","-3.5","","92","","24","","9","","6.4","","100.48","","","","-6","","Snow"
"2010-01-07 12:00","2010","01","07","12:00","-2.3","","-3.3","","93","","24","","11","","4.0","","100.41","","","","-6","","Freezing Drizzle"
"2010-01-07 13:00","2010","01","07","13:00","-2.1","","-3.0","","94","","27","","9","","6.4","","100.31","","","","-6","","Freezing Drizzle"
"2010-01-07 14:00","2010","01","07","14:00","-1.8","","-3.2","","90","","27","","15","","9.7","","100.26","","","","-7","","Fog"
"2010-01-07 15:00","2010","01","07","15:00","-1.8","","-3.2","","90","","24","","15","","12.9","","100.23","","","","-7","","Cloudy"
"2010-01-07 16:00","2010","01","07","16:00","-1.9","","-3.4","","89","","24","","15","","12.9","","100.22","","","","-7","","Cloudy"
"2010-01-07 17:00","2010","01","07","17:00","-2.0","","-3.6","","89","","24","","9","","12.9","","100.19","","","","-5","","Cloudy"
"2010-01-07 18:00","2010","01","07","18:00","-2.0","","-3.3","","91","","24","","9","","16.1","","100.16","","","","-5","","Cloudy"
"2010-01-07 19:00","2010","01","07","19:00","-2.1","","-3.8","","88","","","","0","","19.3","","100.08","","","","","","Cloudy"
"2010-01-07 20:00","2010","01","07","20:00","-2.2","","-3.6","","90","","","","0","","19.3","","100.07","","","","","","Cloudy"
"2010-01-07 21:00","2010","01","07","21:00","-2.1","","-3.7","","89","","","","0","","19.3","","100.02","","","","","","Cloudy"
"2010-01-07 22:00","2010","01","07","22:00"
