,hmdxx_min,hmdxx_max,hmdxx_median-1,hmdxx_max_hour,temp_min,temp_max,dew_point_temp_max,sun_rise,sun_set,visibility_mean,day_of_week,week_of_year,day_type,daily_peak
1994-09-28,11.201129431172623,15.51282307039232,19.18841616244768,10.0,10.5,14.4,11.5,8.0,20.0,18.141666666666666,2.0,39.0,0,16185.0
1994-09-29,7.389707292285767,15.51228497156892,14.156910119164673,13.0,8.3,15.5,8.6,8.0,20.0,31.59583333333333,3.0,39.0,0,16259.0
1994-09-30,4.397359345033603,16.61630810073705,12.024798198905629,14.0,5.5,16.0,9.4,8.0,20.0,32.6,4.0,39.0,0,16046.0
1994-10-03,-1.6788461018871204,10.562459601582102,5.023104122248896,14.0,0.7,12.2,3.3,8.0,19.0,32.6,0.0,40.0,0,16286.0
1994-10-04,1.251739074766128,9.622480436741943,4.364713030133112,10.0,3.0,10.5,5.4,8.0,19.0,31.3,1.0,40.0,0,16640.0
1994-10-05,0.886008570220826,11.043838189935427,6.509314676836459,16.0,3.0,12.9,4.1,8.0,19.0,32.6,2.0,40.0,0,16451.0
1994-10-06,4.6520244769178865,18.850838935390136,6.142620116585281,15.0,6.0,18.8,7.8,8.0,19.0,23.649999999999995,3.0,40.0,0,16317.0
1994-10-07,8.360435022533203,20.32471718622792,12.178076260052428,12.0,8.5,19.3,10.6,8.0,19.0,17.629166666666674,4.0,40.0,1,16187.0
1995-05-23,9.196927861599427,23.132518581737326,14.141419771841106,14.0,9.7,23.0,9.7,6.0,21.0,26.2375,1.0,21.0,2,16261.0
1995-05-24,10.96799096760389,22.46940099074554,18.40874485407466,3.0,10.6,19.3,15.0,6.0,21.0,24.1,2.0,21.0,0,16338.0
1995-05-25,9.182012463898182,16.523057608132984,14.011140040458296,12.0,10.0,16.7,9.4,6.0,21.0,33.12916666666667,3.0,21.0,0,16021.0
1995-05-26,6.624502011494662,19.142564895948396,13.704929135610795,14.0,8.4,20.7,5.4,6.0,21.0,34.50000000000001,4.0,21.0,0,16219.0
1995-05-29,15.203620868190342,21.463139940404,14.453504815464141,8.0,13.4,17.8,15.2,6.0,21.0,19.65833333333333,0.0,22.0,0,16493.0
1995-05-30,14.203620868190342,26.80799584235248,19.35880663803761,16.0,12.4,24.6,12.7,6.0,21.0,29.8625,1.0,22.0,0,16126.0
1995-05-31,15.986592831602449,28.808591626601338,19.400511011030726,15.0,14.8,27.2,13.2,6.0,21.0,27.1875,2.0,22.0,0,16781.0
1995-06-01,14.930320445040836,27.364688358177357,23.941116398794588,14.0,14.1,25.0,13.2,6.0,21.0,23.22916666666667,3.0,22.0,0,16898.0
1995-06-02,20.22367835763716,27.856582195309088,21.83931374066814,17.0,16.5,21.4,18.6,6.0,21.0,7.366666666666667,4.0,22.0,0,17111.0
1995-06-05,11.995894867845635,27.364688358177357,19.446658351226176,12.0,10.9,26.5,12.6,6.0,21.0,23.93750000000001,0.0,23.0,0,17361.0
1995-06-06,15.054082892645626,31.879680109058228,23.15683254130802,14.0,13.0,25.8,18.1,6.0,21.0,14.975000000000005,1.0,23.0,0,18127.0
1995-06-07,16.059915687076593,35.687917239362385,23.229761691800924,13.0,13.8,29.0,21.6,6.0,21.0,8.937500000000004,2.0,23.0,0,18698.0
1995-06-08,8.723514638445526,14.874285056395907,27.664226904084448,17.0,9.4,14.8,10.4,6.0,21.0,32.29583333333334,3.0,23.0,0,16176.0
1995-06-09,6.957140371635438,18.512309260415574,11.820987845342088,14.0,7.9,18.8,7.5,6.0,21.0,32.800000000000004,4.0,23.0,0,16272.0
1995-06-12,10.907459566106192,18.712309260415573,18.78084414931098,13.0,10.7,19.0,9.5,6.0,22.0,35.13333333333334,0.0,24.0,0,16486.0
1995-06-13,6.957140371635438,26.095894867845637,13.732894621227288,17.0,7.9,25.0,11.2,6.0,22.0,32.800000000000004,1.0,24.0,0,17068.0
1995-06-14,12.303893155184914,23.28591168208278,19.39128025582378,16.0,12.6,23.5,11.9,6.0,22.0,31.14583333333334,2.0,24.0,0,17218.0
1995-06-15,8.2425648959484,22.955460952385405,17.79232804216293,15.0,9.5,23.8,7.6,6.0,22.0,30.16666666666667,3.0,24.0,0,17100.0
1995-06-16,9.289707292285764,26.35083893539014,18.117889103452413,15.0,10.0,26.3,9.3,6.0,22.0,25.508333333333336,4.0,24.0,0,17392.0
1995-06-19,26.63173304403099,42.836970680671186,31.76867914689576,15.0,21.9,35.1,20.6,6.0,22.0,16.15833333333334,0.0,25.0,0,21506.0
1995-06-20,21.695894867845634,35.35351887033092,35.60936310312355,9.0,20.6,29.6,20.1,6.0,22.0,19.850000000000005,1.0,25.0,0,20870.0
1995-06-21,15.417770214770412,25.1396177465731,29.548971613697734,14.0,14.5,25.5,10.1,6.0,22.0,33.13333333333334,2.0,25.0,0,18786.0
1995-06-22,13.116308100737053,31.14312108969709,20.969911369591287,13.0,12.5,27.6,16.4,6.0,22.0,20.8375,3.0,25.0,0,19293.0
1995-06-23,20.607431334149823,32.56254632477382,26.722372527105822,11.0,16.7,26.0,19.5,6.0,22.0,10.241666666666667,4.0,25.0,0,19969.0
1995-06-26,28.380341863070623,35.50254445354482,29.353817607204427,15.0,21.8,28.5,19.8,6.0,22.0,17.412500000000005,0.0,26.0,0,20154.0
1995-06-27,25.49855600632168,28.562546324773827,30.24434063811427,5.0,19.9,21.6,19.6,6.0,22.0,14.979166666666671,1.0,26.0,0,18629.0
1995-06-28,22.678360980915194,28.727768671591324,27.44286876370441,16.0,18.1,23.5,17.2,6.0,22.0,17.900000000000013,2.0,26.0,0,18655.0
1995-06-29,23.348649065833424,33.165907483395074,24.68833149115638,15.0,18.2,26.4,19.3,6.0,22.0,13.216666666666665,3.0,26.0,0,19338.0
1995-06-30,25.92915533209974,31.887917239362388,28.170000457890854,14.0,19.6,25.2,19.6,6.0,22.0,9.79166666666667,4.0,26.0,1,18608.0
1995-07-04,12.865369961751915,29.30726510170141,19.569888712508785,14.0,11.4,26.0,18.3,6.0,22.0,18.137500000000006,1.0,27.0,2,17916.0
1995-07-05,27.229155332099747,37.407787179158284,26.29591847503956,14.0,20.5,28.1,22.2,6.0,22.0,11.683333333333335,2.0,27.0,0,19833.0
1995-07-06,29.03325676389048,33.32169303087733,32.89102312360776,0.0,22.1,26.6,21.0,6.0,22.0,20.241666666666674,3.0,27.0,0,19303.0
1995-07-07,15.00859162660134,28.93325676389048,31.69648463043041,0.0,13.4,22.4,18.7,6.0,22.0,17.1125,4.0,27.0,0,17872.0
1995-07-10,12.318202280750873,25.90290624248271,18.725170496474103,14.0,10.9,24.0,13.8,6.0,22.0,20.154166666666672,0.0,28.0,0,16877.0
